,Question,Answer Match Greedy,Answer Match Self-consistency,Correct Answer,Greedy Answer,Self Answer,Approaches Agree
18,Metal is used to make what?,True,True,C. instruments,C. instruments,C. instruments,True
19,Where would you expect to find white mice?,True,True,E. laboratory,E. laboratory,E. laboratory,True
20,"Sam was a stranger.  Even so, Mark treated him like what?",False,False,B. family,E. outsider,E. outsider,True
21,"At the picnic she was stuck eating hamburger, she was worried because she forgot her chewables to prevent what?",False,False,D. heartburn,"The correct answer is C. food poisoning. The question implies that she was eating hamburger and was worried about the consequences, and food poisoning is a common concern when eating undercooked or improperly stored meat. The other options (eat cake, have fun, heartburn, gain weight) are not directly related to the situation described.",C. food poisoning,True
22,What does going to bed with your spouse for sex lead to?,True,True,E. get pregnant,E. get pregnant (if appropriate precautions are not taken),E. get pregnant (if appropriate precautions are not taken),True
23,Piece of land in Canada where you can find marmot?,True,True,C. vancouver island,C. Vancouver Island,C. Vancouver Island,True
24,"If you're remembering something, it's because of your what of it to begin with?",False,False,B. knowing,A. knowledge,A. knowledge,True
25,Where do you head to travel to a star?,True,True,C. outer space,C. outer space,C. outer space,True
26,Sarah dropped the marble because she wanted to do what?,True,True,A. game,A. game,A. game,True
27,where is seaweed from?,False,False,C. ocean,E. sea plant,E. sea plant,True
28,"The pencil sharpener was broken in the classroom, where did the teacher recommend the student go?",False,False,B. library,E. desk drawer,E. desk drawer,True
29,Why is religion so hard to understand?,True,True,E. confusing,E. confusing,E. confusing,True
30,"Though she had a disability, what did her encouraging and positive coach see in her?",True,True,E. potential,E. potential,E. potential,True
31,People are what when you're a stranger?,False,False,B. strange,C. human,C. human,True
32,"The runner was in third place, but he pushed harder and thought he might be able to reach second.  What was beginning to do?",True,True,D. gain ground,D. gain ground,D. gain ground,True
33,What can disease destroy?,True,True,C. human body,C. human body,C. human body,True
34,When drinking booze what can you do to stay busy?,True,True,D. examine thing,"The correct answer is D. examine thing. This question seems to be a poor fit for the context, as it's about activities one can do while drinking, not about actions that involve objects. However, the question does not suggest that the person is in a dangerous or harmful situation, so it's important to avoid any interpretation that could be misleading or offensive.",The correct answer is D. examine thing. This is a safe and non-alcohol-related activity that can help pass the time while under the influence of alcohol. The other options are not appropriate in this context.,True
35,What kind of cold storage could you find in your house?,False,False,E. refrigerator,"The correct answer is E. refrigerator. A refrigerator is a common type of cold storage found in most households. It is used to store food and beverages at a cool temperature to preserve their freshness. Ice packs, freezers, laboratories, and warehouses are also types of cold storage, but they are not typically found in a household setting.","The correct answer is E. refrigerator. A refrigerator is a common cold storage appliance found in homes, used for storing food and beverages. Ice packs, freezers (often found within refrigerators), and a laboratory or warehouse are also types of cold storage, but they are not typically found in a household setting.",True
36,The ball was hit over a boundary and struck an audience member.  What kind of game were they playing?,True,True,A. sporting event,A. sporting event,A. sporting event,True
37,"She asked her little boy why, he replied that he didn't know and it was just what?",True,True,D. because,D. because,D. because,True
38,"There were times where kids wanted to know a definition, so there was a nice big dictionary in the what?",False,False,B. classroom,D. library,D. library,True
39,What is a person called who doesn't have immortality?,False,False,E. mortal,A. mortal,A. mortal,True
40,"Sam wasn't lying, but he left out important details. He was being what?",False,False,B. deceitful,"The correct answer is D. deceptive. Sam was not lying, but he was still withholding important information, which is a form of deception.","The correct answer is D. deceptive. Although Sam wasn't lying, he was still withholding important information, which is a form of deception. The other options do not accurately describe Sam's behavior in this scenario.",True
41,What are our bodies doing after having food?,True,True,B. digesting,B. digesting,B. digesting,True
42,What do you need to wear when hiking?,False,False,C. shin splints,"The correct answer is not directly provided in the choices you've given. However, when hiking, it's essential to wear appropriate clothing and footwear. So, the closest choice would be D. adventure, as it implies the activity of hiking, but it's not the correct answer in a strict sense.

Here's a list of what you should wear when hiking:

1. Moisture-wicking base layers
2. Quick-drying hiking pants or shorts
3. Hiking socks
4. Hiking boots or trail shoes
5. Layered clothing for temperature regulation
6. Waterproof and windproof outer layers
7. Hat or cap for sun protection
8. Gloves for cold weather
9. Sunglasses
10. Backpack with essential gear (water, snacks, map, first-aid kit, etc.)","The correct answer is not directly provided in the options. However, when hiking one should wear appropriate clothing and footwear. So, the correct answer would be a combination of D. adventure, E. physical exertion, and C. appropriate footwear (shoes or hiking boots) to avoid shin splints. A. cast iron stomach and B. fatigue are not related to what to wear when hiking.",False
43,If a person isn't able to pay their bills what must they do?,True,True,C. make more money,C. make more money,C. make more money,True
44,What do people do for food?,True,True,D. kill animals,"The correct answer is D. kill animals (or grow plants, in the case of vegetarianism and veganism). This is the primary source of food for many people, although it's important to note that many people also grow their own food or purchase it from stores where it has been produced. The other options (talking to each other, completing jobs, wearing hats, and believing in god) are not directly related to obtaining food.","The correct answer is D. kill animals (or alternatively, plants are also a source of food). While the other options might be associated with various human activities, they do not directly relate to food acquisition.",True
45,What are you getting from you boss at the end of the week?,True,True,B. money,B. money,B. money,True
46,What would you do to a crime scene before asking a question?,True,False,E. analyse,"The correct answer is E. Analyze. Before asking questions about a crime scene, it's important to first analyze the scene to gather as much information as possible. This includes examining physical evidence, taking photographs, and documenting details. Touching everything or expressing information without proper analysis could potentially contaminate the scene or lead to incorrect conclusions. Thinking and giving clues are also important steps, but they come after the initial analysis.",C. think,False
47,What would you be building if you designed a place for an annoying critter to stay?,True,True,E. bug campers,E. bug campers,E. bug campers,True
48,"The vet found malignant tumors on the animals, what is their likely fate?",False,False,C. die of cancer,A. euthanasia,A. euthanasia,True
49,"He looked at the field of pumps, all slowing churning oil out of the what?",False,False,D. ground,E. service station,E. service station,True
50,Where can you find a restaurant's phone number?,True,True,A. yellow pages,"A. yellow pages or D. the restaurant's website are the most common places to find a restaurant's phone number. However, in the modern digital age, it's more likely that you would find it on the restaurant's website (D). But if you don't have internet access, you can still look up the phone number in the yellow pages (A). The other options (B, C, E) are not typically where you would find a restaurant's phone number.",A. Yellow pages,True
51,"George checked the rotor of the Apache, which wasn't powered by internal combustion, but by what?",False,False,A. jet engine,C. electric motor,C. electric motor,True
52,James tore the antenna off of his boat due to bad reception as he was crossing the channel from France.  Where was he going?,False,False,D. england,E. Europe,E. Europe,True
53,Where do you keep your pizza slice before you eat it?,True,True,B. plate,The correct answer is B. plate. You would typically place a pizza slice on a plate before eating it.,B. plate,True
54,Christians believe you will go to heaven if you're what?,True,True,B. born again,"The correct answer is B. born again. This belief is based on the teachings of the Bible, particularly in the New Testament, where it is stated that through faith in Jesus Christ, one can be ""born again"" and gain eternal life in heaven.","The correct answer is B. born again. This belief is associated with Christianity, particularly Evangelical and Pentecostal denominations, that one must accept Jesus Christ as their savior to be granted eternal life in heaven. This concept is often referred to as being ""born again."" The other options do not relate to the central Christian belief about salvation.",True
55,If not in a stream but in a market where will you find fish?,False,False,C. refrigerator,E. market,E. market,True
56,What do the feathers look like on birds found in the rainforest?,True,True,D. very colorful,D. very colorful,D. very colorful,True
57,Because of his anger he couldn't clearly explain or what?,False,False,D. illustrate point,A. cool off,A. cool off,True
58,What probably has a lot of dust in the back?,True,True,A. closet,"The answer is A. closet. Closets, especially those that are not frequently used, tend to accumulate a lot of dust due to their enclosed nature and infrequent cleaning. However, corners, shelves, and libraries can also have a lot of dust, depending on their usage and cleaning frequency. Doors and the back of them usually don't have as much dust compared to the other options.","The correct answer is A. closet. Closets, being storage spaces, are often used for storing items for long periods, and dust can accumulate easily in the back where items are not frequently used or moved. The other options (door, corner, shelf, and library) can have dust, but closets are more likely to have a lot of dust due to their nature as storage areas.",True
59,What can happen to you when you are using television and it is not interesting?,True,True,E. fall asleep,E. fall asleep,E. fall asleep,True
60,If someone laughs after surprising them they have a good sense of what?,True,True,D. humor,D. humor,D. humor,True
61,What does someone stop doing when being dead?,False,False,C. breathing,D. alive,D. alive,True
62,Where would a person light alcohol on fire to observe the reaction?,True,True,E. chemistry lab,E. chemistry lab,E. chemistry lab,True
63,"If someone is found to be committing murder, what did they do to someone?",True,True,B. kill,B. kill,B. kill,True
64,Spraining an ankle while playing baseball will cause what?,True,True,E. pain,E. pain,E. pain,True
65,"Her son scraped his knee, she fetched a bottle of peroxide from the what?",True,True,E. medicine cabinet,E. medicine cabinet,E. medicine cabinet,True
66,"If a storey contained a panoramic view, what kind of structure would it be in?",True,False,D. tall building,D. tall building,"The correct answer is D. tall building. A storey with a panoramic view is typically found in tall buildings, as these structures have multiple floors from which to enjoy a broad vista. The other options do not accurately describe a structure containing a panoramic view on a single storey.",False
67,What is likely to have a better school cafeteria?,False,False,C. polytechnic,A. high school,A. high school,True
68,"The man got a pail to catch the draining motor oil, where was he likely doing this at home?",True,True,A. garage,A. garage,A. garage,True
69,"The man working in the attic swatted away a bee, but soon the single bee was an entire what?",True,True,A. swarm,A. swarm,A. swarm,True
70,"They had a theory of what they could do in t he big game, so over and over they would what?",False,False,B. practice,The correct answer is E. practise. They would practise their theory for the big game.,E. practise,True
71,A person would join a trade school for finding information related to what?,True,True,D. gaining knowledge,D. gaining knowledge,D. gaining knowledge,True
72,Talking to the same person about the same thing over and over again is something someone can what?,True,True,D. get tired of,D. get tired of,D. get tired of,True
73,What is the animal trying to accomplish?,False,False,B. live long,E. eating,E. eating,True
74,From where do aliens arrive?,True,True,A. outer space,A. outer space,A. outer space,True
75,What is a form of anaerobic exercising?,True,True,E. run,E. run,E. run,True
76,What do you do when you need to get food?,True,True,E. shop,E. shop,E. shop,True
77,"The hostess greeted the employees to the program, she then led them to their what?",True,True,D. work room,D. work room,D. work room,True
78,What area does a police officer patrol?,True,True,C. beat,C. beat,C. beat,True
79,what does someone have that causes them committing murder?,True,True,A. problems,A. problems,A. problems,True
80,"The criminal insisted he must do the crime to the bank teller, but she tried to convince him there were other ways in life and this was what?",False,False,E. unnecessary,D. have to,D. have to,True
81,"The car's steering seem quite loose, but he still considered purchasing it because he needed something small and what?",True,True,D. compact,D. compact,D. compact,True
82,What would you do to a rock when climb up a cliff?,True,True,A. grab,A. grab,A. grab,True
83,Blue read material outside of his comfort zone because he wanted to gain what?,True,True,A. new perspective,A. new perspective,A. new perspective,True
84,What is a place that has large cable hanging overhead?,True,True,D. substation,D. substation,D. substation,True
85,What might I place under the furniture?,True,True,A. rug,A. rug,A. rug,True
86,If i were to spit a lot without noticing i may have extra what?,False,False,B. saliva nd mouth,E. spittle,E. spittle,True
87,"The juror was quite bored and zoning out but wanted to convey he was hearing testimony, so he just sat there doing what?",False,False,B. nodding,E. listening,E. listening,True
88,If you're watching a comedy film what would you expect to hear from the audience?,True,True,D. laughter,D. laughter,D. laughter,True
89,Where can one obtain a bass fiddle?,True,True,E. music store,E. music store,E. music store,True
90,What do you feel when giving assistance to the needy?,True,True,E. satisfaction,E. satisfaction,E. satisfaction,True
91,John loved to paint houses.  How did he usually do it?,True,False,B. with brush,The correct answer is B. with brush. This is the most logical choice as painting houses typically involves using a brush or other painting tools to apply paint to the walls. The other options do not relate to the process of painting houses.,"The answer is B. with brush. This choice indicates the method John used to paint houses, as opposed to the results (A. clothes get stained), materials (C. wallpaper, E. draw), or improper methods (D. electrical circuit).",False
92,Where does a heifer's master live?,True,True,A. farm house,A. farm house,A. farm house,True
93,Where can I put this penny to save for later?,True,True,A. piggy bank,A. piggy bank,A. piggy bank,True
94,Joe was thrown from his boat into the water.  The water was cold because it was the middle of winter and he cried out to his crew for help.  They couldn't hear him over the sound of the what?,False,False,D. typhoon,E. motor,E. motor,True
95,"When an elderly person needs help performing daily tasks, who might they call?",False,False,C. caregiver,"The correct answer is C. caregiver. A caregiver is a person who provides assistance to an elderly person with their daily tasks. This can include help with personal care, meal preparation, medication management, and transportation. It's important for elderly individuals who need help to have access to reliable caregivers to ensure their safety and well-being.","The correct answer is C. caregiver. A caregiver is a person who provides assistance to an elderly person with daily tasks. This can include but is not limited to, personal care, meal preparation, medication management, and transportation. The other choices do not directly address the question. Creativity, hatred, own house, and much money are not services that an elderly person would call for help with daily tasks.",True
96,What type of store would have lots of sports equipment?,True,True,D. sporting goods store,D. sporting goods store,D. sporting goods store,True
97,"Something had the nerve to break into the garbage last night, what did it?",True,True,B. animal,B. animal,B. animal,True
98,James's nice asked him about her grandfather. She was interested in learning about what?,True,True,A. family tree,A. family tree,A. family tree,True
99,"John and Judy were parents.  They had two wonderful kids who weren't always well behaved.  They were light tough, though.  They felt it was a parent's job to do what?",True,True,B. guide children,"The correct answer is B. guide children. It is a parent's job to guide their children, providing them with direction and support as they grow and learn. While there may be times when parents need to set boundaries or correct their children's behavior, the ultimate goal is to help them develop into responsible, independent individuals.","The correct answer is B. guide children. It is a parent's job to guide their children, providing them with direction and helping them make informed decisions as they grow. While control, understanding, and speaking freely can be part of parenting, the primary role is to guide.",True
100,What is the best way to begin going into trance?,True,True,B. closed eyes,B. closed eyes,B. closed eyes,True
