,Question,Choices,Answer Match Greedy,Answer Match Self-consistency,Correct Answer,Greedy Answer,Self Answer,Approaches Agree
39,"The computer was difficult for he to understand at the store, so what did she sign up for to learn more?",A. classroom B. facebook C. school D. apartment E. demonstration,True,True,E. demonstration,E. demonstration,E. demonstration,True
40,What type of feeling is performing for the first time likely to produce?,A. action B. butterflies C. happiness D. a sense of calm E. anxiety,True,True,E. anxiety,E. anxiety,E. anxiety,True
41,Where would you find magazines along side many other printed works?,A. doctor B. bookstore C. market D. train station E. mortuary,True,True,B. bookstore,"The correct answer is B. bookstore. Magazines are typically found in bookstores, along with other printed works such as books, newspapers, and comics. They can also be found in newsstands, convenience stores, and supermarkets, but bookstores are the most common place to find a wide variety of magazines.",B. bookstore,True
42,"If a small flying animal picks up a string, where are they taking it?",A. bird's nest B. park C. guitar D. kite E. quark,False,False,A. bird's nest,D. kite,D. kite,True
43,If you're buying beer for a float trip what are you preparing to do?,A. get arrested B. have fun C. get sick D. spend money E. stupidity,True,True,B. have fun,B. have fun,B. have fun,True
44,What might I place under the furniture?,A. rug B. room C. toy D. friend's house E. building,True,True,A. rug,A. rug,A. rug,True
45,Where is there a telephone book in almost every room?,A. at hotel B. house C. library D. bedsit E. closet,True,True,A. at hotel,A. at hotel,A. at hotel,True
46,If a person is trying to keep something in their hand what should they do?,A. complete collection B. own house C. procrastinate D. explode E. have to hold,True,True,E. have to hold,E. have to hold,E. have to hold,True
47,Where is a grape likely to be being fed to someone else?,A. field B. bathroom C. michigan D. minnesota E. painting,False,False,E. painting,"A. field is where grapes are grown, not where they are being fed to someone else.
B. bathroom is not a place where grapes are typically fed.
C. Michigan and Minnesota are locations, not places where food is fed.
E. painting is an art form, not a place where food is fed.

Therefore, the answer is not directly provided in the choices. However, if we consider the context of the question, it is likely that grapes are being fed to someone else in a home, restaurant, or similar setting. So, the answer could be inferred as D. home, but it's not a direct choice from the given options.","A. field is the most likely place where grapes are grown, not where they are fed to someone else. So, the answer is not A.

Bathrooms, Michigan, Minnesota, and painting do not involve feeding grapes to someone else. So, the answer is not B, C, D, or E.

Therefore, the answer is not any of the given choices. A more appropriate question would be ""Where is a grape likely to be eaten by someone?"" with the correct answer being A. field (since that's where grapes are grown). Or ""Where is a grape likely to be given to someone?"" with the correct answer being not any of the given choices because grapes are typically eaten, not given as food in the context of the given choices.",True
48,What do audiences clap for?,A. cinema B. theatre C. movies D. show E. hockey game,False,False,D. show,B. theatre,B. theatre,True
49,"If somebody is working at a reception desk, they are located at the front entrance of the what?",A. motel B. hostel C. building D. lobby E. office park,False,False,C. building,D. lobby,D. lobby,True
50,"They were getting ready for a really long hike, he put the food can in his what?",A. cabinet B. house C. recycling center D. backpack E. make person sick,True,True,D. backpack,D. backpack,D. backpack,True
51,If not in a stream but in a market where will you find fish?,A. stream B. aquarium C. refrigerator D. boat ride E. market,False,False,C. refrigerator,E. market,E. market,True
52,What does someone stop doing when being dead?,A. moving B. working C. breathing D. alive E. deadworks,False,False,C. breathing,D. alive,D. alive,True
53,What does a person often feel about someone judging them guilty?,A. controversy B. responsibility C. resentment D. judge feelings E. hurt feelings,False,False,C. resentment,E. hurt feelings,E. hurt feelings,True
54,What could suddenly stop someone when he or she is running?,A. mushroom B. falling down C. sweating D. exhaustion E. getting tired,False,False,B. falling down,"The correct answer is D. exhaustion or E. getting tired. While mushrooms can cause physical reactions, they don't directly stop someone while running. Falling down, sweating, and exhaustion are all possible outcomes of running, but exhaustion or getting tired are more likely to cause someone to suddenly stop running.","The correct answer is D. exhaustion or E. getting tired. These are the reasons someone might suddenly stop when running, as they reach the point where their energy or stamina is depleted. While mushrooms can potentially affect someone's running ability, mushroom itself is not the action that stops them. Similarly, sweating is a natural response to physical exertion but it does not necessarily cause someone to stop. Falling down (B) could potentially stop someone, but it is not a typical reason for someone to stop running suddenly unless they trip or slip.",True
55,Where would someone purchase an upright piano?,A. music class B. college C. music store D. music room E. music band,True,True,C. music store,C. music store,C. music store,True
56,WHere do people live?,A. apartment B. eat cake C. bus depot D. football stadium E. surface of earth,True,True,E. surface of earth,E. surface of earth,E. surface of earth,True
57,"Steve thought that it was possible, but he agreed that it was what?",A. no go B. unable C. unlikely D. impossibility E. cant do,True,True,C. unlikely,C. unlikely,C. unlikely,True
58,How can someone die from eating hamburger?,A. gas B. getting full C. mad cow disease D. death E. feel full,True,True,C. mad cow disease,C. mad cow disease,C. mad cow disease,True
59,What do they call the trash in Australia?,A. dirt B. subway C. state park D. container E. dustbin,True,True,E. dustbin,E. dustbin,E. dustbin,True
60,"For many males hair is a concern as they get older, it begins to what, causing a receding hairline?",A. thin out B. grow in ear C. fall out D. bulge E. composted,True,False,C. fall out,"The correct answer is C. fall out. This is often referred to as male pattern baldness or androgenetic alopecia. It's a common condition that affects many men as they age. The hair doesn't necessarily thin out evenly across the scalp, but tends to recede from the forehead, leaving a characteristic M-shaped hairline. It doesn't grow in the ear, bulge, or compost.","The correct answer is C. fall out. As males age, their hair follicles can become sensitive to dihydrotestosterone (DHT), a hormone that causes the hair to fall out, leading to a receding hairline. Options A (thin out), B (grow in ear), D (bulge), and E (composted) are not accurate in this context.",False
61,"Billy was an astronaut.  When he looked at the world from space, how did it look?",A. diverse B. round C. square D. orange E. complicated,False,False,B. round,A. diverse,A. diverse,True
62,Where would you expect to find a dictionary along side other writings you can borrow?,A. classroom B. shelf C. explain meaning of words D. table E. library,True,True,E. library,E. library,E. library,True
63,Minerals can be obtained in what way for a person who avoids leafy greens?,A. multivitamin B. farm C. michigan D. earth E. ore,False,False,A. multivitamin,E. ore,E. ore,True
64,What does 	drinking alcohol lead to?,A. have fun B. intoxication C. vomiting D. drinking more alcohol E. nausea,True,True,B. intoxication,B. intoxication,B. intoxication,True
65,Jodie felt a tightness in her chest. She was worried but didn't want to go to the hospital. Where might she go instead?,A. istanbul B. concert C. bedroom D. antique shop E. human being,True,True,C. bedroom,C. bedroom,C. bedroom,True
66,Where is a lake likely to be glacial?,A. michigan B. new york C. new york D. mountains E. countryside,True,True,D. mountains,D. mountains,D. mountains,True
67,In what substance do clouds float?,A. sky B. top of mountain C. air D. ground level E. outer space,True,True,C. air,C. air,C. air,True
68,Why does someone want to examine thing closely?,A. buy B. learn about C. buy D. complex E. interesting,True,False,B. learn about,"The correct answer is B. learn about. When someone wants to examine a thing closely, it is usually because they want to learn more about it. This could be due to its complexity, interest, or other factors, but the primary motivation is to gain knowledge or understanding.",E. interesting,False
69,At a shop what can you buy to put your spare unused things?,A. basement B. cardboard box C. ocean floor D. high school E. container,False,False,E. container,"The correct answer is E. container. A container is a suitable place to store your spare, unused things at a shop or at home. The other options (basement, cardboard box, ocean floor, high school) are not typically used for storing items in a shop setting.","The correct answer is E. container. A container is a suitable place to store unused items in a shop. The other options, such as the basement, cardboard box, ocean floor, and high school, are not typically used for storing items in a shop setting.",True
70,Mandy lived in a train station.  She longed to see distant places. Where might she imagine going?,A. downtown area B. centre of town C. bedroom D. europe E. big city,False,False,D. europe,E. big city,E. big city,True
71,Where is a good place to set a cup of coffee while relaxing?,A. coffee shop B. kitchen C. hand D. table E. office,True,True,D. table,D. table,D. table,True
72,Where would you find a monkey in the wild?,A. zoo B. barrel C. research laboratory D. captivity E. thailand,True,True,E. thailand,E. Thailand,E. Thailand,True
73,Where does a child likely sit at a desk?,A. furniture store B. schoolroom C. patio D. office building E. library,True,True,B. schoolroom,B. schoolroom,B. schoolroom,True
74,When cooking sheep meat a lot of people might want to be well?,A. ram B. lamb C. done D. ram E. wolf,False,False,C. done,B. lamb,B. lamb,True
75,What has someone who had finished their undergraduate done?,A. graduated B. masters C. postgraduate D. phd E. professor,True,True,A. graduated,A. graduated,A. graduated,True
76,"They were searching for rocks, so they missed the birds overhead as they stared at the what?",A. ground B. drawer C. surface of earth D. pizza E. waterfall,True,True,A. ground,A. ground,A. ground,True
77,Sitting down quickly after eating beans could lead to what?,A. flatulence B. happiness C. laziness D. fall asleep E. comfort,True,True,A. flatulence,A. flatulence,A. flatulence,True
78,"Her voice lent her to the alto section, what group did she join?",A. symphony B. concerto C. choir D. theater troupe E. marching band,True,True,C. choir,C. choir,C. choir,True
79,"Dan was a farmer with just one heifer.  But that was okay, he only kept her for milk, and he didn't think he'd find good farmland in a place as cold as where?",A. arizona B. farm yard C. michigan D. german field E. dairy farm,True,True,C. michigan,"The correct answer is C. Michigan. The question mentions that Dan lives in a cold place, and Michigan is known for its cold weather. Additionally, it's not a type of farmland, farm yard, or dairy farm, and Germany is a country, not a type of farmland. Arizona is a state in the southwestern United States, known for its hot desert climate, not cold weather.","The correct answer is C. Michigan. The question implies that Dan is in a cold place, and Michigan is known for its cold weather. Also, Michigan is not a farm yard, Arizona is not cold, German field is a vague and misleading term, and dairy farm is not a place but a type of farm.",True
80,Where would you find a single shower curtain being used?,A. bathtub B. washing area C. hotel D. shower stall E. department store,False,False,A. bathtub,D. shower stall,D. shower stall,True
81,A story about World War II would be set when?,A. book or library B. book or magazine C. newspaper D. past E. future,True,True,D. past,D. past,D. past,True
82,what does a person do to stay healthy?,A. fever B. eat every day C. excited D. headache E. expressive,True,False,B. eat every day,"The correct answer is B. eat every day. This is a basic requirement for maintaining good health, along with regular exercise, adequate sleep, and proper hydration. Fever, headache, and being excited are symptoms or feelings, not actions to maintain health. Being expressive is a behavior, not directly related to health maintenance.","B. eat every day. A balanced diet and regular meals are essential for a person to stay healthy. The other options (fever, headache, excited, expressive) are not actions that a person does to maintain good health, but rather potential symptoms, emotions, or characteristics.",False
83,What does a kindergarten teacher do before nap time?,A. lower expectations B. encourage C. fear D. time test E. tell story,True,True,E. tell story,E. tell story,E. tell story,True
84,What kind of tale might feature a talking weasel?,A. mulberry bush B. animated film C. chicken coop D. history book E. children's story,True,True,E. children's story,E. children's story,E. children's story,True
85,What language type is someone from Iran likely to use?,A. books B. dard C. sky D. closed room E. television,False,True,B. dard,"E. television

Persian (Farsi) is the official language of Iran and is widely used in television broadcasts. While Persian is also used in literature (A), music (sky, C can be a metaphor), and in everyday conversations (closed room, D can be a metaphor for private or personal matters), television is a common medium for mass communication in Iran.","The language someone from Iran is likely to use is Persian (Farsi), so the correct answer would be B. dard, as it is a Persian word. However, Persian is also used in writing books, seen on television, and can be spoken in open spaces like the sky, so the other choices could also loosely apply. The other choices (A, C, D, E) do not directly relate to a specific language.",False
86,Joe owned back taxes as well as what other type of taxes?,A. anterior B. front C. main D. front E. current,True,True,E. current,E. current taxes,E. current,True
87,What could committing murder prevent someone from doing?,A. go to jail B. cry C. find god D. guilty conscience E. problems,False,False,C. find god,D. guilty conscience,D. guilty conscience,True
88,"They needed grape juice for their party, they went to buy it and other snacks at the what?",A. field B. restaurant C. salad D. market E. food store,False,False,E. food store,"The correct answer is E. food store. A food store is a place where one can buy various types of food items, including grape juice and snacks. The other options (field, restaurant, salad, market) are not typically places where one would buy food items for a party.",D. market,False
89,"Billy lived in the capital of his country, then he moved.  Where might he move to?",A. small town B. jail C. lower case D. contain governmental activities E. lowercase,True,True,A. small town,A. small town,A. small town,True
90,What would it be if they get a surprising show over and over?,A. surprise B. fight C. annoyance D. might scare E. irritated,False,False,C. annoyance,E. irritated,E. irritated,True
91,In what country are the most fast food restaurants?,A. new york B. blocks of flats C. center of town D. america E. big cities,False,True,D. america,"E. big cities

While New York City is known for its high concentration of fast food restaurants, the question asks for the country with the most fast food restaurants, which would be the United States as a whole, given its extensive fast food culture and numerous chains. However, the question is phrased in a way that suggests the answer is more related to the urban environment, hence the choice of ""big cities.""",D. America,False
92,"The flower grew tall to compete for sunlight, what did its neighbor do?",A. blossom B. park C. open D. cast shadow E. vase,True,True,D. cast shadow,D. cast shadow,D. cast shadow,True
93,Where do most people turn to get information on their phones?,A. internet B. book C. online D. google E. manual,True,True,D. google,D. Google,D. Google,True
94,"If someone found out their brother was having a daughter, they would have to add a niece limb to the what?",A. family picture book B. family reunion C. brother's house D. family tree E. baby shower,True,True,D. family tree,D. family tree,D. family tree,True
95,David watched some nesting birds using his binoculars while on vacation.  Where might David be?.,A. sky B. vaccation C. forest D. countryside E. roof,False,False,C. forest,D. countryside,D. countryside,True
96,"He was afraid he would die from his cold, so he wisely decided to what?",A. ocean B. write will C. never want D. were shot E. seek help,True,True,E. seek help,E. seek help,E. seek help,True
97,"James decided that competing was the right choice.   Not competing has a defined outcome, but if he competes then what could happen?",A. might win B. perform better C. enemies D. winners and losers E. lose,True,True,A. might win,A. might win,A. might win,True
98,If you turn off the music in a room with no other noise that room would be what?,A. silent B. opera C. silence D. television E. elevator,True,True,A. silent,A. silent,A. silent,True
99,"If someone was making breakfast, they'd probably put two slices of bread in the what?",A. plastic bag B. pantry C. supermarket D. toaster E. prison,True,True,D. toaster,D. toaster,D. toaster,True
100,"He was a sloppy eater, so where did he leave a mess?",A. sailboat B. desk C. closet D. table E. apartment,True,True,D. table,D. table,D. table,True
